Topic #,Label,Abbreviation,Justification,Characteristic Terms (Fig 2),Centroid Text
0,Morphological Codes,MoC,"Focus on cell differentiation, developmental patterns, and tissue-specific signaling ('code' used metaphorically).","activity, regulatory, function, expression, transcription factor, binding site, enhancer, express","Morphological Codes. Cell differentiation, developmental patterns, and tissue-specific signaling. Key terms: activity, regulatory, function, expression, transcription factor, binding site, enhancer."
1,Genomic Code,GC,"Emphasis on genome structure, genome-wide regulation, and chromatin-based signaling.","microtubule, sequence, chromosome, tubulin, repeat, complex, structure, membrane, genome","Genomic Code. Genome structure, genome-wide regulation, and chromatin-based signaling. Key terms: sequence, chromosome, genome, microtubule, tubulin, repeat, chromatin, structure."
2,Binding Code,BC,"Key terms relate to molecular interactions, affinity, docking, and structural dynamics.","domain, bind, receptor, interaction, membrane, residue, structure, stereotypic","Binding Code. Molecular interactions, affinity, docking, and structural dynamics. Key terms: domain, bind, receptor, interaction, affinity, docking, membrane, residue, structure."
3,Genetic Code,GeC,"Direct references to the canonical genetic code, codons, translation, and codon reassignment.","sequence, stop codon, genome, change, codon","Genetic Code. Canonical genetic code, codons, translation, and codon reassignment. Key terms: codon, sequence, stop codon, translation, codon reassignment, genome, amino acid."
4,Language Code,LC,"Includes analogies between language and code, linguistic metaphors, and semiotic discussions.","letter, model, read, word, language, emotion","Language Code. Analogies between language and code, linguistic metaphors, and semiotic discussions. Key terms: language, word, letter, read, linguistic, semiotic, meaning, metaphor."
5,Phosphorylation Code,PhC,"Recurring references to kinase signaling, phosphorylation motifs, and PTM logic.","phosphorylation, nuclear, target, CTD, bind, p53, transcription, complex","Phosphorylation Code. Kinase signaling, phosphorylation motifs, and post-translational modification logic. Key terms: phosphorylation, kinase, CTD, p53, target, nuclear, motif, post-translational modification."
6,Pathological Code,PaC,"Focuses on disease processes and how codes relate to dysregulation or biomarkers.","cancer, disease, expression, study, p53, tissue","Pathological Code. Disease processes and how codes relate to dysregulation or biomarkers. Key terms: cancer, disease, dysregulation, biomarker, p53, tissue, expression."
7,Chemical Codes,ChC,"Topics about sugar codes, glycosylation, and stereochemical logic of biomolecules.","site, nucleotide, triplet, bind, order, pair, selection, assignment","Chemical Codes. Sugar codes, glycosylation, and stereochemical logic of biomolecules. Key terms: sugar code, glycosylation, stereochemistry, nucleotide, pair, triplet, assignment, binding site."
8,Regulatory Code,RC,"Centered on transcriptional and epigenetic regulation, including enhancer-promoter logic.","sequence, region, site, bind, motif, enhancer","Regulatory Code. Transcriptional and epigenetic regulation, including enhancer-promoter logic. Key terms: enhancer, promoter, motif, regulatory sequence, transcription, binding site, region."
9,Code Theory,CT,"Theoretical reflections on the concept of 'code' itself, including biosemiotics and formal models.","number, base, table, position, group, triplet, property, mutation, set","Code Theory. Theoretical reflections on the concept of code itself, including biosemiotics and formal models. Key terms: code table, biosemiotics, formal model, base, position, mapping, property, theory."
10,Synthetic Code,SyC,"Synthetic biology, code engineering, and manipulation of coding logic for design.","orthogonal, E. coli, synthetase, unnatural, incorporate, pair, mutant","Synthetic Code. Synthetic biology, code engineering, and manipulation of coding logic for design. Key terms: orthogonal, unnatural amino acid, synthetase, incorporation, engineering, E. coli, codon expansion."
11,Cognitive Signal,CoS,"Neural codes, perceptual encoding, and brain-related informational models.","stimulus, trial, effect, study, condition, target","Cognitive Signal. Neural codes, perceptual encoding, and brain-related informational models. Key terms: stimulus, perception, cognition, trial, response, condition, encoding, brain."
12,Ubiquitination Code,UbC,"Explores ubiquitin tagging and proteasomal regulation, often framed as coding systems.","chain, residue, ubiquitin, helix, circular","Ubiquitination Code. Ubiquitin tagging and proteasomal regulation, often framed as coding systems. Key terms: ubiquitin, chain, proteasome, tagging, residue, lysine, degradation."
13,Olfactory Code,OlC,"Related to encoding of smells, sensory input processing, and specific neural mappings.","olfactory, calcium, receptor, male, response","Olfactory Code. Encoding of smells, sensory input processing, and specific neural mappings. Key terms: olfactory, odor, receptor, smell, calcium, sensory, neural mapping."
14,Hox Code,HxC,"Direct references to Hox genes and their regulatory logic along developmental axes.","expression, pattern, stage, express, level, mutant, embryo","Hox Code. Hox genes and their regulatory logic along developmental axes. Key terms: Hox gene, expression pattern, developmental axis, segment, embryo, stage, mutant, anterior-posterior."
15,Signal Code,SiC,"General cell signaling pathways, often conceptualized as encoding-decoding systems.","stimulus, response, translation","Signal Code. General cell signaling pathways, often conceptualized as encoding-decoding systems. Key terms: signaling, stimulus, response, pathway, encoding, decoding, signal transduction."
16,Molecular Codes,MC,"Biochemical codes like folding, assembly, and structural signaling.","translation, sequence, enzyme, mRNA, editing, aaRS, site","Molecular Codes. Biochemical codes like folding, assembly, and structural signaling. Key terms: translation, mRNA, enzyme, aminoacyl-tRNA synthetase, editing, folding, assembly, sequence."
17,Prebiotic Code,PrC,"Origin-of-life models, early molecular systems, and pre-DNA coding theories.","evolve, theory, evolution, early, origin, translation, mRNA","Prebiotic Code. Origin-of-life models, early molecular systems, and pre-DNA coding theories. Key terms: origin of life, prebiotic, early evolution, RNA world, primordial, translation, mRNA."
18,Histonic Code,HiC,"Focused on histone modifications and chromatin states interpreted as regulatory codes.","chromatin, histone, modification, methylation","Histone Code. Histone modifications and chromatin states interpreted as regulatory codes. Key terms: histone, chromatin, methylation, acetylation, modification, nucleosome, epigenetic mark."
19,Neural Circuits,NC,"Neural networks, firing patterns, and encoding in nervous system pathways.","response, increase, synaptic, stimulus, input, stimulation, afferent, signal","Neural Circuits. Neural networks, firing patterns, and encoding in nervous system pathways. Key terms: neural circuit, synaptic, firing pattern, neuron, afferent, stimulation, input, spike."
20,Code Mathematics,CM,"Mathematical formalizations of codes, often with information-theoretic framing.","error, value, model, state, probability, parameter","Code Mathematics. Mathematical formalizations of codes, often with information-theoretic framing. Key terms: information theory, error, probability, model, entropy, parameter, value, state."
21,Code Physics,CP,"Physics-informed approaches to codes, including topology, entropy, and dynamical models.","information, model, biology, process, life, network, language","Code Physics. Physics-informed approaches to codes, including topology, entropy, and dynamical models. Key terms: physics, entropy, topology, dynamical model, information, network, process, energy."
22,Code Philosophy,CPh,"Philosophical and epistemological discourse around the nature, meaning, and origin of 'code'.","pair, base, interaction, bind, structure, bond, form, recognition","Code Philosophy. Philosophical and epistemological discourse around the nature, meaning, and origin of code. Key terms: philosophy, epistemology, meaning, ontology, interpretation, nature of code, recognition."
23,Lab Methods,LM,"Technical references to protocols, instrumentation, and data pipelines for studying codes.","peptide, image, supplementary, analysis, sample, perform, medium","Lab Methods. Protocols, instrumentation, and data pipelines for studying codes. Key terms: protocol, assay, sample, analysis, instrumentation, peptide, imaging, pipeline."
